dataset,teacher,teacher_family,regret__NaiveKD,regret__PersistenceGateKD,regret__HardRejectSR,regret__SoftSR
AAPL,ESN,classical_control,0.09531281414453616,0.0,0.0,0.0
AAPL,QELM,quantum,0.15239048049870219,0.0,0.0,0.0
AAPL,QKRR,quantum,0.15337693600109348,0.0,0.0,0.0
AAPL,QRC,quantum,0.3577683887168008,0.0,0.0,0.0
AAPL,RFF,classical_control,0.09912068088209314,0.0,0.0,0.0
AAPL,VQC,quantum,0.2613248684252894,0.0,0.0,0.0
ETTh1,ESN,classical_control,1.6103901570919235,0.0,0.5103854079273239,0.5103854079273239
ETTh1,QELM,quantum,1.3011604405491362,0.0,0.0,0.0
ETTh1,QKRR,quantum,1.461938336789723,0.0,0.0,0.0
ETTh1,QRC,quantum,2.160918371096362,0.0,0.0,0.0
ETTh1,RFF,classical_control,1.5653752562119119,0.0,0.0,0.0
ETTh1,VQC,quantum,1.3803008139158766,0.0,0.0,0.0
ETTm2,ESN,classical_control,0.2200915643842377,0.0,-0.007956861024042815,-0.007956861024042815
ETTm2,QELM,quantum,0.43331766533878013,0.0,-0.014224594598238119,-0.014224594598238119
ETTm2,QKRR,quantum,0.22117189029598788,0.0,-0.022139267368288192,-0.13497016454592797
ETTm2,QRC,quantum,0.8593813368329389,0.0,-0.023883223112955328,-0.04586273845915477
ETTm2,RFF,classical_control,0.19214172518971476,0.0,-0.009091888680662307,-0.009091888680662307
ETTm2,VQC,quantum,0.3249579883319403,0.0,-0.015909796294667235,-0.015909796294667235
Energy,ESN,classical_control,0.21296247137509386,0.0,0.0,0.0
Energy,QELM,quantum,0.5526009302670793,0.0,0.0,0.0
Energy,QKRR,quantum,0.29062538952860933,0.0,0.0,0.0
Energy,QRC,quantum,0.9183539195859716,0.0,0.0,0.0
Energy,RFF,classical_control,0.03906906962798466,0.0,0.0,0.0
Energy,VQC,quantum,0.46232060935544944,0.0,0.0,0.0
Exchange,ESN,classical_control,1.5778868793599077,0.0,1.5778868793599077,1.5778868793599077
Exchange,QELM,quantum,0.3694090016065644,0.0,0.0,0.0
Exchange,QKRR,quantum,0.0715008612706319,0.0,0.05644829747074174,0.05644829747074174
Exchange,QRC,quantum,1.7505636491167835,0.0,0.0,0.0
Exchange,RFF,classical_control,0.05240292117022923,0.0,0.051949426594073624,0.051949426594073624
Exchange,VQC,quantum,0.12581378564477505,0.0,0.02640451995493756,0.02640451995493756
Jena,ESN,classical_control,0.7300232602745191,0.0,0.0,0.0
Jena,QELM,quantum,2.682823104963711,0.0,0.0,0.0
Jena,QKRR,quantum,1.794882653372142,0.0,0.0,0.0
Jena,QRC,quantum,3.8134537225579237,0.0,0.0,0.0
Jena,RFF,classical_control,0.8117736108707854,0.0,0.0,0.0
Jena,VQC,quantum,2.479470630401524,0.0,0.0,0.0
